question_num,section,he_label,en_label,tally_key_he,tally_key_en,type,conditional_on,template_ids,per_item
1,personal_info,שם ושם משפחה,First and Last Name,6c605369-befa-471e-beef-5002b5cab9a0,42f73f81-dc26-4e78-9147-0097463518c9,INPUT_TEXT,,,
2,personal_info,אימייל,Email,1edbb7d3-9bea-472c-bccf-3c990cde0b7e,30ad6074-8428-411a-9b0f-f26a972af1c5,INPUT_EMAIL,,,
3,personal_info,טלפון,Phone Number,805a8bd6-88bb-48a8-b612-a0254293e29c,7aa08e39-61e8-4ee6-ab52-0efae9e3615f,INPUT_PHONE_NUMBER,,,
4,family_status,האם נשוי/אה,Were you married,1943368e-560a-4870-8787-2f009209ae24,f084a961-1c0d-4d85-bf6e-48d3d1e297f2,MULTIPLE_CHOICE,,,
5,family_status,שם בן/בת הזוג,Spouse's name,29fcdc51-ebaf-482e-bc52-487f965a0814,8f74464e-e49b-4ad8-80ab-f9062305ce7a,INPUT_TEXT,Q4=כן,,
6,business_capital,חשבון בנק עסקי?,Business bank account?,d825bdd2-889e-4deb-82f0-c8d0ea00231f,189dcc1a-3e3b-456c-94fc-9f1aede3479e,MULTIPLE_CHOICE,,,
7,business_capital,שם הבנק העסקי,Business bank names,50bac67d-0b12-4747-8e14-9dfe379ea57b,c07858b4-9308-40ee-94db-2936eedf098d,TEXTAREA,Q6=כן,CS-T001,true
8,business_capital,כרטיסי אשראי עסקיים?,Business credit cards?,0db691fb-419b-4890-b0f4-553f7ccd3477,5fc523f9-a375-4e4b-bc6c-02c70a6097d3,MULTIPLE_CHOICE,,,
9,business_capital,שם חברת האשראי,Credit card company,5653ee04-2973-4468-ab44-f8bed7477d8e,12485392-c7c3-4e25-944a-21b4b549c323,TEXTAREA,Q8=כן,CS-T002,true
10,business_capital,בעלי מניות?,Hold shares?,c3b90d17-40e1-4b3c-b57f-c04309fecd09,f7b40aef-9362-442b-b60b-df2415cac890,MULTIPLE_CHOICE,,,
11,business_capital,שמות החברות,Company names,27272c19-c01c-4ee1-ab6e-7d662a8455e1,450efd2e-f758-4b1f-b96f-4531d0563bd1,TEXTAREA,Q10=כן,CS-T003,true
12,real_estate,נכסי מקרקעין?,Own real estate?,51571c2e-fe44-4d4f-b4de-689656cfd5ed,6016a347-c707-4d53-8457-df2fd67e7264,MULTIPLE_CHOICE,,,
13,real_estate,כתובת כל נכס,Property addresses,99702095-a471-4ad5-8e1d-adfb60757864,d079f8fa-bb25-4725-9ca2-fef30157ad68,TEXTAREA,Q12=כן,CS-T004,true
14,real_estate,שיפוצים?,Renovations?,7d97a42f-5347-4b05-b6b9-74efe13620db,3e67bc54-6195-4d6f-9823-dce42be2c21e,MULTIPLE_CHOICE,Q12=כן,CS-T005,
15,real_estate,דירות נופש?,Vacation homes?,b68ac4b6-6bb9-4979-ae60-2035ac95b088,a5256a59-d4f8-46eb-b008-60dbcd2eda2f,MULTIPLE_CHOICE,,,
16,real_estate,תיאור זכות נופש,Vacation home details,ea8365d2-3030-4387-85bf-bec06af3c406,a38ed923-9037-4e7b-85ef-1c73294a0142,TEXTAREA,Q15=כן,CS-T006,true
17,real_estate,כלי רכב?,Vehicles?,1777fd46-d7b1-460a-b128-dd5ed3373f1a,e08311ae-a16d-42e2-88f1-29328c834232,MULTIPLE_CHOICE,,,
18,real_estate,סוג כלי תחבורה,Vehicle details,eb24bcfc-6075-47af-a6e7-366da2c57555,dc7189fb-cd16-4e2f-939f-0c0aaab21534,TEXTAREA,Q17=כן,CS-T007,true
19,banking,חשבונות בנק,Bank accounts,6a6e539f-38a4-4cac-bb32-902a6cb0e735,fb69852e-5b79-41fa-8d07-03291a2794f3,TEXTAREA,,CS-T008,true
20,banking,כרטיסי אשראי פרטיים,Personal credit cards,3a2875d7-43a6-410d-b63c-e8bdd584cebc,3202b597-a151-4f19-895c-3c09df98a6ec,TEXTAREA,,CS-T009,true
21,banking,משכנתא?,Mortgage?,e328898b-8e79-4188-a201-d837b4011439,3366a98f-975e-4055-8003-64a79e08d2b1,MULTIPLE_CHOICE,,,
22,banking,בנק משכנתא,Mortgage bank,28ccb270-d2f9-48c4-b22d-8b6f4e1eda2f,1301ab61-1035-4920-aa26-e58ebcc3092d,TEXTAREA,Q21=כן,CS-T010,true
23,banking,הלוואות חוץ-בנקאיות?,Non-bank loans?,d38581db-c85c-41d3-bd92-6765f50ec6d2,ab7dbbb1-66b7-4143-86c5-4cba1fec1462,MULTIPLE_CHOICE,,,
24,banking,שם המלווה,Lender details,ce43aaa0-2cb7-4ff3-ab52-ab1cb919bf89,f4b06940-8a35-4240-a332-4a3f2c454639,TEXTAREA,Q23=כן,CS-T011,true
25,employment,שכירים?,Employed?,209c49e1-2cb5-4d90-b6df-aea7175c1268,f61837c1-9825-4916-ab59-a4d7207a947a,MULTIPLE_CHOICE,,,
26,employment,שמות מקומות עבודה,Employer names,5618202c-211a-4753-85ba-5e3991c6372c,9052ff87-9723-4bca-9383-7e301e5632fa,TEXTAREA,Q25=כן,CS-T012,true
27,insurance_pension,קרן פנסיה?,Pension fund?,d2d914bd-6f62-464d-bc4e-6ac855d8165b,83110d7d-ed50-4490-8637-ca53d85cf999,MULTIPLE_CHOICE,,,
28,insurance_pension,שם חברת פנסיה,Pension company,552aadc8-1071-49b8-acf2-076684034126,f06af7c8-6e38-4a57-8dec-f487078a8260,TEXTAREA,Q27=כן,CS-T013,true
29,insurance_pension,קרן השתלמות?,Study fund?,19f597ea-10e6-4e32-853a-a3d838093447,aacdbfab-b495-4854-a61e-1eae5117fc36,MULTIPLE_CHOICE,,,
30,insurance_pension,שם חברת השתלמות,Study fund company,a9caeee6-d156-41d2-b807-06335672a89b,ce7e2fc1-cb8c-4151-9419-7ed9ab4f6270,TEXTAREA,Q29=כן,CS-T014,true
31,insurance_pension,קופת גמל?,Provident fund?,0a188c02-b263-4b8a-a2e1-24e12fa12ff5,db7fb287-85c1-4785-8f77-3baff6658a74,MULTIPLE_CHOICE,,,
32,insurance_pension,שם חברת גמל,Provident fund company,cf7ca436-277b-414a-aa21-f8029314d728,ba324c23-b9ed-4da7-a042-e742255a4fc6,TEXTAREA,Q31=כן,CS-T015,true
33,insurance_pension,ביטוח חיים?,Life insurance?,b7135c56-a7e6-4bb3-a30f-7b52f69c5b50,965c83e3-6609-4803-b924-5f08beb84c92,MULTIPLE_CHOICE,,,
34,insurance_pension,שם חברת ביטוח,Life insurance company,b6e2517e-b7d0-453a-8c39-5b47c4c4115d,f2d01e2f-1981-4ce7-a88a-7c9f5aeec7d4,TEXTAREA,Q33=כן,CS-T016,true
35,insurance_pension,תוכנית חסכון?,Savings plan?,8636f51c-1a4b-4e64-86e4-26ad2c13e4c5,9d4b0a5b-33cb-4a97-b8d0-7dbb9c3951f3,MULTIPLE_CHOICE,,,
36,insurance_pension,שם בנק/חברה חסכון,Savings plan company,244f8529-9eb2-4f88-88fb-004d6a313bae,d76031e9-88ce-4472-b8b7-a8864feca040,TEXTAREA,Q35=כן,CS-T017,true
37,investments,ניירות ערך?,Securities?,c6bfc39e-dca2-4d10-99da-4f3ac2592125,99f8df5d-6e85-4099-8216-e2485e00a370,MULTIPLE_CHOICE,,,
38,investments,שם מוסד ני״ע,Securities institution,4c4e5a3d-d6bd-4e79-bd7e-8623ae016de2,344f1c46-2da4-45d1-97dd-783cca14d862,TEXTAREA,Q37=כן,CS-T018,true
39,debts,חובות כלפי התא?,Receivables?,34e1741a-e090-4aff-9c44-5d26744e027f,3af13b9a-f927-40f6-9d8c-457f7cd46187,MULTIPLE_CHOICE,,,
40,debts,פרטי חובות כלפי,Receivables details,ffd5ba53-2700-4b75-83b2-5a5b5b38064e,d4437251-a97c-4f73-8f5a-f173982c4c85,TEXTAREA,Q39=כן,CS-T019,false
41,debts,חובות של התא?,Payables?,04fcfe58-02ed-4a86-a67b-b4abfa70c210,a6ff7bed-2559-48dd-a3d8-81f2adc930e6,MULTIPLE_CHOICE,,,
42,debts,פרטי חובות של,Payables details,20330fc8-25b5-45c9-b542-6793e7fb574f,b997db6f-64f8-4a7e-9afd-45264d9d8ad3,TEXTAREA,Q41=כן,CS-T020,false
43,other_assets,מזומנים?,Cash at home?,bac502b9-9174-4841-b142-b890ef4f5317,fc8f1d2a-98eb-47a1-9127-f03859c28b08,MULTIPLE_CHOICE,,,
44,other_assets,סכום מזומנים,Cash amount,af771b8d-47de-4c72-9348-4fa61abae422,7a729249-1607-42a5-9a3e-d1982f83db30,INPUT_TEXT,Q43=כן,,
45,other_assets,כספת?,Safe?,4937feab-dadc-4ee7-85f9-069e43cd0012,e8f7316d-aaba-48ac-931a-bb2c5af29bae,MULTIPLE_CHOICE,,,
46,other_assets,תכולת כספת,Safe contents,c600b4f8-bbc8-4803-8989-3c0af9c3ee1d,0db959e7-2063-4c15-82ad-bc37a859f9ca,TEXTAREA,Q45=כן,CS-T021,false
47,other_assets,מיופה כוח?,Power of attorney?,494c5379-efb8-4947-b673-7b77486c6660,a90b1a00-10b1-4049-8872-8b83963eaa23,MULTIPLE_CHOICE,,,
48,other_assets,פרטי חשבונות ייפוי כוח,POA account details,834c338f-d535-4c57-b296-18a609cf844d,135427af-26eb-4473-ba0d-707bd859190f,TEXTAREA,Q47=כן,CS-T022,true
49,other_assets,נכסים נוספים,Other assets,ded8b0b4-7524-45b5-b560-e89afe2b2055,81d171f4-90ee-4709-a1c2-55e8cb0265c4,TEXTAREA,,,
